DWIVEDI        CLASSICAL       RUN
1.48722e-09    1.3166e-09     385
1.48155e-09    1.34538e-09    386
1.47173e-09    1.4142e-09     387
1.48304e-09    1.52211e-09    388
1.46132e-09    1.07739e-09    389
1.48532e-09    1.36168e-09    390
1.48045e-09    1.55771e-09    391
1.48142e-09    1.46998e-09    392
1.48137e-09    1.51136e-09    393
1.48085e-09    1.33284e-09    394
1.4908e-09     1.48734e-09    395
1.48532e-09    1.44467e-09    396
1.4869e-09     1.57918e-09    397
1.48232e-09    1.45701e-09    398
1.47311e-09    1.51789e-09    399
1.47164e-09    1.43747e-09    400
1.47453e-09    1.57726e-09    401
1.46996e-09    1.53533e-09    402
1.46569e-09    1.41308e-09    403
1.48096e-09    1.10659e-09    404
1.48983e-09    1.43873e-09    405
1.47361e-09    1.339e-09      406
1.47933e-09    1.44603e-09    407
1.47966e-09    1.1685e-09     408
1.48957e-09    1.55004e-09    409
1.47209e-09    1.25407e-09    410
1.47094e-09    1.35412e-09    411
1.47403e-09    1.81437e-09    412
1.4687e-09     1.75785e-09    413
1.47032e-09    1.31976e-09    414
1.47525e-09    1.40482e-09    415
1.47577e-09    1.35158e-09    416
1.48614e-09    1.46776e-09    417
1.48484e-09    1.53155e-09    418
1.46803e-09    1.17046e-09    419
1.47283e-09    1.53597e-09    420
1.48146e-09    1.47281e-09    421
1.47038e-09    1.58891e-09    422
1.47656e-09    1.50872e-09    423
1.47758e-09    1.45231e-09    424
1.48319e-09    1.45261e-09    425
1.48472e-09    1.19224e-09    426
1.47153e-09    1.14483e-09    427
1.47298e-09    1.40915e-09    428
1.46784e-09    1.58894e-09    429
1.47018e-09    1.75395e-09    430
1.48721e-09    1.58625e-09    431
1.47319e-09    1.51799e-09    432
1.46873e-09    1.28563e-09    433
1.46167e-09    1.38908e-09    434
1.47536e-09    1.38866e-09    435
1.48258e-09    1.35559e-09    436
1.47995e-09    1.26495e-09    437
1.4737e-09     1.47321e-09    438
1.4817e-09     1.49375e-09    439
1.47804e-09    1.15541e-09    440
1.4869e-09     1.26111e-09    441
1.48037e-09    1.42608e-09    442
1.47182e-09    1.7052e-09     443
1.47972e-09    1.43324e-09    444
1.47962e-09    1.78994e-09    445
1.48631e-09    1.54422e-09    446
1.48091e-09    1.43085e-09    447
1.47622e-09    1.72448e-09    448
1.47547e-09    1.4e-09        449
1.47816e-09    1.6474e-09     450
1.47114e-09    1.29698e-09    451
1.4849e-09     1.40555e-09    452
1.47292e-09    1.324e-09      453
1.46544e-09    1.34587e-09    454
1.48421e-09    1.4351e-09     455
1.47386e-09    1.2827e-09     456
1.46843e-09    1.32159e-09    457
1.4713e-09     1.53628e-09    458
1.48222e-09    1.26529e-09    459
